tenure_months,monthly_charges,contract_type,payment_method,is_fiber,promo_active,support_tickets_90d,app_logins_30d,churn
53,77.65,month-to-month,paypal,1,1,0,18,0
28,70.64,month-to-month,transfer,1,1,0,20,0
57,69.94,month-to-month,credit-card,1,1,0,20,0
28,50.28,month-to-month,credit-card,1,1,3,12,0
4,79.03,month-to-month,transfer,1,1,3,22,0
65,121.91,two-year,paypal,0,1,1,15,0
17,57.5,one-year,paypal,0,1,0,20,0
8,66.42,month-to-month,transfer,1,1,2,18,1
45,56.08,one-year,transfer,1,1,3,10,1
17,55.24,month-to-month,paypal,1,0,0,16,1
61,95.89,month-to-month,paypal,1,1,2,11,0
32,51.54,month-to-month,credit-card,1,1,0,14,0
1,55.52,month-to-month,debit,0,1,0,14,0
68,33.25,one-year,debit,0,0,0,14,0
37,49.85,two-year,transfer,0,1,2,16,0
19,30.83,month-to-month,debit,0,1,2,18,0
49,77.64,month-to-month,debit,0,0,0,22,1
38,120.99,one-year,credit-card,1,1,2,18,0
3,57.67,month-to-month,credit-card,0,1,0,19,0
54,31.66,month-to-month,debit,1,0,1,16,0
29,83.0,two-year,paypal,1,0,2,22,0
50,50.46,one-year,debit,0,1,2,19,0
64,90.99,two-year,credit-card,1,1,0,9,0
44,59.36,month-to-month,debit,1,1,2,4,0
48,52.36,month-to-month,paypal,1,0,2,18,0
19,61.44,month-to-month,transfer,1,0,0,16,0
17,80.16,two-year,transfer,0,1,0,14,0
30,60.45,month-to-month,credit-card,0,0,2,16,0
61,55.07,month-to-month,paypal,1,1,0,17,0
38,61.02,month-to-month,credit-card,0,0,2,17,0
25,39.56,one-year,paypal,1,1,1,20,0
56,72.94,one-year,paypal,0,1,0,22,0
61,29.27,one-year,transfer,1,1,0,21,0
65,56.12,month-to-month,paypal,1,0,2,18,0
22,80.19,one-year,paypal,0,1,5,20,0
51,71.06,month-to-month,transfer,0,1,0,20,0
42,76.81,month-to-month,paypal,0,1,1,22,0
32,63.7,month-to-month,transfer,1,0,1,13,0
29,88.39,month-to-month,transfer,1,0,2,18,0
9,83.49,month-to-month,debit,0,1,2,19,0
20,73.92,two-year,transfer,1,1,2,16,0
40,83.55,month-to-month,debit,0,1,1,24,0
63,80.01,month-to-month,credit-card,1,1,0,10,0
62,56.21,one-year,debit,1,1,2,18,0
14,38.12,one-year,credit-card,1,1,1,22,0
49,73.41,month-to-month,paypal,1,1,1,20,0
7,75.92,one-year,debit,0,0,1,17,0
48,86.81,month-to-month,paypal,0,0,4,14,0
25,46.27,month-to-month,debit,1,1,0,19,0
32,46.87,one-year,debit,0,1,0,14,0
51,74.2,month-to-month,credit-card,0,1,1,22,0
31,63.58,month-to-month,paypal,0,0,1,14,0
58,27.28,month-to-month,transfer,1,0,0,21,0
38,72.5,month-to-month,debit,1,1,1,12,0
71,27.95,month-to-month,transfer,1,1,1,17,1
46,46.09,two-year,paypal,0,1,0,14,0
22,92.03,month-to-month,transfer,0,0,0,18,0
56,101.5,two-year,debit,0,1,1,22,0
29,40.69,month-to-month,paypal,1,1,2,21,0
38,58.41,one-year,paypal,0,1,0,19,0
10,65.85,month-to-month,paypal,1,0,1,20,0
9,100.62,month-to-month,credit-card,1,1,2,12,0
41,55.14,month-to-month,paypal,1,0,0,23,0
14,55.46,month-to-month,credit-card,1,1,2,18,0
71,95.97,two-year,transfer,1,0,1,15,0
61,57.5,one-year,transfer,1,1,2,24,0
50,79.44,one-year,credit-card,0,0,0,31,0
53,35.46,month-to-month,credit-card,1,1,2,14,0
43,61.58,month-to-month,paypal,1,1,1,14,0
5,31.81,one-year,paypal,1,0,0,30,0
28,43.89,one-year,credit-card,0,0,0,16,0
36,81.78,month-to-month,transfer,1,1,2,21,0
65,64.0,one-year,credit-card,1,1,0,18,0
16,58.62,month-to-month,transfer,1,1,1,20,0
36,50.03,two-year,debit,1,1,2,19,0
25,60.59,month-to-month,paypal,1,0,2,18,0
10,71.02,month-to-month,transfer,0,1,2,16,0
8,84.66,two-year,debit,1,0,0,10,0
26,12.5,month-to-month,transfer,0,1,1,20,0
6,48.36,month-to-month,debit,1,1,2,11,0
5,68.18,month-to-month,credit-card,1,1,1,22,0
25,63.02,month-to-month,transfer,0,0,0,26,0
15,73.07,two-year,paypal,0,0,0,15,0
40,70.35,one-year,debit,1,1,1,14,0
2,58.9,month-to-month,credit-card,1,1,1,16,0
22,54.46,two-year,credit-card,1,1,0,22,0
33,60.09,one-year,debit,0,1,0,12,0
69,87.97,two-year,paypal,1,0,2,12,0
46,50.36,month-to-month,debit,0,1,2,12,0
63,63.74,month-to-month,paypal,0,1,0,20,0
25,68.67,month-to-month,debit,1,1,2,24,0
32,96.21,month-to-month,debit,0,1,1,18,0
30,58.99,one-year,paypal,1,0,4,16,0
64,84.18,month-to-month,transfer,0,1,1,26,0
69,89.64,month-to-month,credit-card,0,1,0,15,0
69,63.72,one-year,credit-card,1,1,0,19,0
54,60.79,month-to-month,credit-card,0,1,3,16,0
36,58.42,month-to-month,paypal,0,1,0,15,0
39,59.88,one-year,credit-card,0,1,1,16,0
70,82.08,two-year,credit-card,0,1,1,17,0
21,69.62,month-to-month,paypal,1,0,4,21,0
25,69.71,two-year,transfer,0,1,0,17,0
64,42.5,one-year,paypal,1,1,1,13,0
28,45.65,one-year,credit-card,1,1,1,28,0
17,107.87,month-to-month,transfer,1,1,2,20,1
40,61.44,one-year,credit-card,1,0,2,23,0
24,49.5,one-year,transfer,1,1,2,27,0
64,93.62,month-to-month,credit-card,1,1,2,18,0
65,70.64,two-year,paypal,0,1,1,12,0
22,76.56,two-year,debit,1,1,2,22,0
38,62.24,month-to-month,debit,0,1,2,21,0
70,58.63,one-year,paypal,1,1,4,18,0
53,61.61,month-to-month,credit-card,1,1,0,16,0
16,37.35,one-year,paypal,0,1,0,18,0
42,63.24,one-year,transfer,0,1,1,17,0
45,70.92,month-to-month,transfer,0,1,2,21,0
47,102.01,month-to-month,debit,0,1,1,14,0
2,66.72,month-to-month,paypal,1,1,0,17,0
22,18.32,two-year,debit,0,0,1,11,0
61,63.12,month-to-month,debit,1,1,0,11,0
18,119.79,two-year,debit,1,1,3,11,1
22,82.33,month-to-month,debit,0,1,0,31,0
23,48.78,month-to-month,debit,0,1,0,18,0
13,76.82,two-year,credit-card,0,1,0,17,1
12,50.16,month-to-month,debit,1,1,1,29,0
25,37.92,month-to-month,debit,0,0,1,16,0
63,58.03,month-to-month,debit,0,0,1,18,0
1,66.83,month-to-month,paypal,1,1,0,18,0
21,27.56,month-to-month,credit-card,1,1,0,27,0
5,42.02,month-to-month,paypal,0,0,3,20,0
40,65.21,one-year,paypal,1,0,2,19,0
18,56.84,month-to-month,credit-card,1,0,4,19,0
57,72.9,month-to-month,transfer,1,0,0,18,0
42,40.71,month-to-month,credit-card,0,1,0,17,0
56,79.28,month-to-month,credit-card,1,1,0,23,0
46,41.32,two-year,paypal,0,1,0,18,0
32,97.85,month-to-month,credit-card,1,1,1,14,0
62,30.68,month-to-month,debit,0,0,3,25,0
34,43.15,month-to-month,credit-card,1,1,0,12,0
68,73.35,two-year,credit-card,1,1,2,18,0
71,98.28,one-year,credit-card,1,0,1,20,1
42,71.3,one-year,paypal,1,0,2,14,0
48,76.26,two-year,credit-card,0,1,1,12,0
19,65.35,one-year,paypal,0,0,1,20,0
58,44.47,two-year,credit-card,1,0,3,19,0
48,55.2,month-to-month,paypal,0,1,0,17,0
65,40.76,one-year,paypal,0,1,1,15,0
19,39.43,two-year,transfer,1,0,1,24,0
56,73.03,two-year,paypal,0,1,2,16,0
34,42.54,month-to-month,debit,0,0,1,14,0
14,71.39,one-year,paypal,1,1,0,13,0
13,38.96,month-to-month,credit-card,1,1,1,16,0
40,70.93,one-year,transfer,1,1,0,25,0
23,55.23,month-to-month,paypal,0,1,0,13,0
8,93.13,month-to-month,transfer,1,1,2,15,0
31,71.47,one-year,debit,1,1,4,13,0
47,89.72,month-to-month,transfer,0,1,0,15,0
23,49.89,month-to-month,paypal,1,1,4,20,0
68,66.12,month-to-month,paypal,1,1,1,13,0
56,45.38,one-year,transfer,1,1,2,13,0
37,56.73,one-year,transfer,0,0,2,17,0
67,59.76,one-year,paypal,1,1,0,19,0
31,50.48,month-to-month,transfer,0,0,0,15,0
10,40.69,one-year,credit-card,0,1,1,16,0
3,36.73,one-year,paypal,0,1,1,20,0
67,18.21,month-to-month,credit-card,1,1,1,16,0
69,43.87,month-to-month,transfer,0,0,1,22,0
53,77.55,month-to-month,debit,1,1,1,14,0
8,33.03,month-to-month,credit-card,1,1,0,20,0
21,37.64,month-to-month,debit,0,1,2,20,0
3,100.82,month-to-month,credit-card,1,1,1,16,0
4,52.27,month-to-month,debit,1,0,0,12,0
18,71.42,month-to-month,debit,0,1,4,24,0
41,77.85,month-to-month,debit,1,1,0,21,0
5,78.25,one-year,credit-card,1,0,2,24,0
70,34.55,month-to-month,transfer,1,1,1,21,0
33,60.38,month-to-month,credit-card,1,1,1,24,0
19,32.64,one-year,paypal,1,1,0,22,0
37,113.93,month-to-month,credit-card,1,1,1,17,0
57,33.1,month-to-month,credit-card,0,0,3,21,0
23,44.04,month-to-month,debit,0,1,0,15,0
4,44.19,month-to-month,debit,1,1,1,25,0
4,35.07,month-to-month,paypal,0,1,2,23,0
61,92.05,month-to-month,transfer,0,1,2,19,0
8,113.45,month-to-month,debit,0,1,2,20,0
46,55.49,month-to-month,paypal,1,1,0,21,0
28,38.59,two-year,credit-card,1,1,2,21,0
56,20.26,month-to-month,paypal,0,1,1,14,0
5,60.12,month-to-month,debit,0,1,2,14,0
64,58.67,month-to-month,debit,0,1,0,15,0
50,51.97,one-year,debit,0,1,5,29,0
32,69.43,one-year,credit-card,1,1,0,12,0
15,72.9,one-year,transfer,0,1,2,22,0
70,71.46,month-to-month,transfer,1,1,1,14,0
22,58.68,month-to-month,transfer,0,1,1,13,0
35,42.97,one-year,transfer,0,1,1,21,1
28,78.32,month-to-month,credit-card,1,1,0,17,0
17,65.25,two-year,paypal,0,0,1,16,0
30,82.77,month-to-month,transfer,0,0,0,21,0
11,80.8,month-to-month,transfer,0,1,3,17,1
1,36.56,month-to-month,credit-card,1,0,0,19,0
21,36.32,month-to-month,paypal,0,1,3,18,0
8,49.89,one-year,transfer,1,0,2,10,1
30,43.87,month-to-month,debit,1,0,3,17,0
62,80.11,month-to-month,paypal,1,1,2,28,0
12,72.03,one-year,transfer,1,1,1,17,0
1,86.98,two-year,paypal,1,1,0,15,0
8,72.93,one-year,paypal,1,1,2,23,0
37,69.17,two-year,credit-card,1,0,0,17,0
20,88.99,two-year,paypal,1,0,0,19,0
35,74.39,month-to-month,transfer,1,1,0,25,0
3,66.36,two-year,credit-card,0,1,0,14,0
24,94.61,two-year,paypal,1,1,0,16,0
30,67.3,month-to-month,debit,0,1,1,30,0
31,58.91,one-year,paypal,1,1,1,22,0
40,48.24,month-to-month,credit-card,0,1,1,20,0
56,79.06,one-year,debit,0,0,0,12,0
34,89.74,month-to-month,debit,0,0,1,20,0
60,63.99,one-year,debit,0,0,1,19,0
38,91.16,month-to-month,transfer,0,1,2,13,0
19,25.6,month-to-month,credit-card,0,1,0,19,0
17,63.89,month-to-month,transfer,1,0,2,19,0
23,64.2,one-year,credit-card,0,0,1,13,0
43,50.46,month-to-month,debit,1,0,1,16,0
18,112.68,one-year,transfer,1,1,2,24,0
65,63.68,month-to-month,debit,0,1,2,11,0
35,56.85,month-to-month,debit,0,1,0,14,0
62,65.52,month-to-month,transfer,0,1,1,21,0
49,24.94,two-year,credit-card,0,0,3,17,0
24,49.8,month-to-month,paypal,1,1,1,24,0
17,84.66,one-year,paypal,1,1,1,11,0
53,52.42,month-to-month,paypal,1,0,1,16,0
24,48.42,one-year,debit,0,1,1,27,0
18,91.19,month-to-month,debit,1,1,1,15,0
67,91.81,month-to-month,paypal,0,0,3,11,0
35,75.34,month-to-month,transfer,1,1,1,12,0
4,55.9,month-to-month,paypal,1,1,2,15,0
36,60.21,month-to-month,credit-card,0,1,1,19,0
33,48.92,month-to-month,paypal,1,1,1,16,0
62,45.1,month-to-month,transfer,1,0,1,22,0
51,44.11,two-year,paypal,1,1,3,18,0
14,52.64,month-to-month,paypal,0,0,2,17,0
11,44.31,two-year,credit-card,1,0,1,25,0
43,33.73,month-to-month,credit-card,0,0,1,18,0
4,69.39,month-to-month,credit-card,0,1,1,17,0
23,69.69,month-to-month,transfer,1,1,0,14,0
10,99.02,month-to-month,paypal,0,1,2,18,0
2,51.63,month-to-month,credit-card,0,1,2,13,0
66,70.92,two-year,credit-card,1,1,0,20,0
7,71.25,one-year,debit,0,1,2,18,0
1,59.92,month-to-month,debit,1,1,0,13,0
67,79.89,month-to-month,credit-card,1,0,0,19,0
14,80.5,month-to-month,transfer,0,0,4,15,0
58,71.55,one-year,paypal,1,1,3,20,0
3,59.89,month-to-month,credit-card,1,1,0,16,0
11,57.85,month-to-month,credit-card,1,0,2,18,0
8,37.64,month-to-month,credit-card,1,1,1,18,0
51,48.88,month-to-month,credit-card,1,1,3,14,0
45,52.56,one-year,debit,1,1,2,13,0
34,42.52,month-to-month,credit-card,0,0,1,23,1
18,73.8,month-to-month,debit,0,0,2,19,0
7,88.93,two-year,credit-card,1,1,2,20,1
41,46.84,two-year,transfer,1,1,2,22,0
17,70.67,month-to-month,debit,1,1,2,26,0
42,44.32,month-to-month,credit-card,0,0,1,20,0
49,58.9,one-year,credit-card,1,0,2,17,0
61,51.19,month-to-month,debit,0,1,2,16,0
36,77.04,month-to-month,transfer,0,0,1,23,0
1,51.42,month-to-month,credit-card,1,1,2,23,1
20,85.23,month-to-month,debit,0,1,3,15,0
61,60.09,two-year,transfer,1,1,1,23,1
38,52.01,one-year,debit,0,0,1,14,0
44,39.93,two-year,credit-card,1,1,1,19,0
33,70.06,one-year,debit,1,1,2,16,0
12,82.9,one-year,credit-card,0,1,0,18,0
64,70.47,one-year,paypal,1,1,2,15,0
55,109.78,one-year,paypal,1,1,2,21,0
71,93.6,month-to-month,debit,0,0,1,13,0
61,58.85,month-to-month,credit-card,1,1,1,21,0
21,58.64,month-to-month,credit-card,1,1,1,20,0
19,74.39,month-to-month,transfer,0,1,0,21,0
18,48.24,month-to-month,paypal,1,1,1,9,0
66,88.33,month-to-month,debit,0,1,1,19,0
40,72.23,month-to-month,transfer,0,0,1,18,0
33,70.13,month-to-month,credit-card,0,0,1,12,0
69,78.74,month-to-month,paypal,1,1,2,10,0
43,99.46,month-to-month,debit,1,1,1,18,0
65,68.42,month-to-month,credit-card,0,0,1,18,0
70,62.74,two-year,paypal,0,1,4,14,0
6,95.17,month-to-month,paypal,0,1,0,22,0
26,84.35,month-to-month,debit,1,1,0,16,0
53,58.58,month-to-month,paypal,0,0,1,16,0
58,65.1,one-year,credit-card,0,0,2,13,0
11,68.91,one-year,debit,0,1,0,20,0
23,72.24,month-to-month,transfer,1,1,1,20,0
39,37.87,month-to-month,transfer,1,0,1,20,0
57,34.15,one-year,debit,1,1,2,15,0
9,47.25,two-year,paypal,0,1,0,17,0
43,45.71,month-to-month,paypal,1,1,1,19,0
22,52.12,month-to-month,credit-card,1,1,4,17,0
16,77.69,month-to-month,paypal,1,1,2,17,0
37,61.62,month-to-month,credit-card,0,1,2,16,0
30,68.93,one-year,transfer,0,1,1,17,0
46,40.51,two-year,debit,1,0,1,15,0
23,55.77,two-year,debit,0,1,1,21,0
59,76.75,one-year,credit-card,1,1,4,14,0
6,76.9,month-to-month,debit,0,1,1,15,0
62,50.51,two-year,credit-card,0,1,2,16,0
3,68.23,month-to-month,paypal,1,1,0,26,0
53,108.98,month-to-month,credit-card,0,0,1,22,0
25,64.65,one-year,debit,0,1,2,16,0
28,51.14,month-to-month,credit-card,1,0,2,28,0
2,61.52,one-year,credit-card,0,0,0,16,0
50,66.84,two-year,debit,1,1,0,20,0
12,61.98,one-year,paypal,0,1,2,13,0
47,64.37,one-year,debit,1,1,1,21,0
52,36.13,month-to-month,paypal,1,1,0,23,0
61,45.75,month-to-month,paypal,0,1,0,10,0
51,62.01,one-year,debit,1,1,2,20,0
22,61.69,month-to-month,paypal,1,1,0,24,0
53,53.68,two-year,debit,1,0,2,22,0
59,61.46,month-to-month,transfer,0,1,0,18,0
23,66.22,month-to-month,transfer,1,1,1,15,0
9,82.79,month-to-month,transfer,1,0,0,13,0
64,63.02,one-year,paypal,1,0,2,26,0
11,72.98,one-year,credit-card,1,0,0,20,1
43,54.17,two-year,debit,1,1,0,22,0
17,76.44,month-to-month,transfer,1,1,2,20,0
9,72.51,month-to-month,debit,1,1,1,20,0
56,82.32,month-to-month,paypal,1,0,2,21,0
11,79.27,month-to-month,debit,1,1,1,16,0
48,76.77,month-to-month,debit,0,1,1,21,0
50,63.03,month-to-month,debit,1,1,1,21,0
5,69.9,month-to-month,transfer,0,1,1,16,0
13,86.27,month-to-month,credit-card,1,1,1,19,0
57,51.96,one-year,credit-card,1,1,0,20,0
37,52.43,one-year,paypal,1,1,1,25,0
9,68.63,month-to-month,credit-card,0,1,1,11,0
71,73.31,month-to-month,credit-card,1,1,1,15,0
19,48.52,one-year,debit,0,1,0,22,0
1,63.5,one-year,debit,1,0,0,12,0
66,63.12,one-year,credit-card,1,1,1,21,0
2,20.69,month-to-month,paypal,1,1,3,12,0
40,60.61,month-to-month,credit-card,0,1,1,20,0
71,61.85,two-year,debit,1,1,1,20,0
42,61.79,month-to-month,credit-card,1,1,3,11,0
42,93.32,month-to-month,debit,1,1,2,20,0
28,40.68,two-year,credit-card,1,1,3,16,0
10,48.51,month-to-month,paypal,1,1,0,13,0
41,12.76,one-year,paypal,0,0,0,21,0
64,55.38,two-year,credit-card,0,0,0,16,0
7,57.09,month-to-month,credit-card,1,1,1,16,0
63,54.8,one-year,paypal,1,1,2,28,0
30,87.15,month-to-month,debit,0,1,1,21,0
39,82.21,two-year,credit-card,1,1,0,11,0
12,66.56,two-year,credit-card,0,1,1,15,0
45,57.59,two-year,debit,0,1,0,19,0
13,85.52,month-to-month,transfer,1,1,2,11,0
20,64.6,one-year,transfer,1,1,1,15,0
52,48.63,two-year,credit-card,1,1,1,15,0
4,30.68,one-year,debit,0,0,0,14,0
32,56.17,one-year,debit,1,1,1,15,1
43,80.09,month-to-month,transfer,1,0,0,25,0
10,110.53,two-year,debit,1,0,3,13,0
21,66.23,month-to-month,credit-card,0,1,1,19,0
25,49.69,month-to-month,paypal,1,1,1,23,0
48,41.3,two-year,transfer,0,1,2,16,0
70,76.04,two-year,debit,1,1,0,19,0
60,29.71,two-year,credit-card,1,1,0,19,0
14,76.01,month-to-month,credit-card,0,1,1,25,0
2,81.35,month-to-month,paypal,0,1,1,15,0
4,73.73,month-to-month,paypal,1,1,1,20,1
43,60.61,month-to-month,transfer,1,1,0,21,0
12,76.3,two-year,credit-card,0,0,0,13,0
17,68.42,month-to-month,debit,0,1,0,17,0
61,49.44,month-to-month,debit,1,1,0,12,0
63,102.01,month-to-month,credit-card,0,1,0,21,1
60,57.97,month-to-month,credit-card,1,1,2,18,0
19,80.52,two-year,debit,1,1,3,18,0
44,16.63,one-year,debit,0,1,4,25,0
44,90.53,month-to-month,transfer,1,1,2,23,0
14,94.38,month-to-month,transfer,1,1,0,17,0
40,65.6,month-to-month,debit,1,0,2,24,0
38,76.18,month-to-month,debit,1,1,0,18,0
29,76.17,two-year,transfer,0,1,1,17,0
54,52.14,one-year,credit-card,0,0,1,12,0
49,75.94,month-to-month,credit-card,1,1,0,21,0
38,48.83,one-year,paypal,1,1,3,11,0
52,52.82,month-to-month,credit-card,0,1,0,24,0
55,87.54,month-to-month,credit-card,0,1,0,22,0
41,84.49,month-to-month,transfer,1,0,4,18,0
20,50.87,month-to-month,transfer,0,0,0,15,0
54,50.33,month-to-month,credit-card,1,1,1,27,0
51,52.09,one-year,paypal,1,0,2,16,0
70,79.65,two-year,credit-card,0,1,1,13,0
11,45.0,month-to-month,transfer,1,1,2,23,1
30,72.13,one-year,transfer,0,1,1,15,0
66,79.94,month-to-month,paypal,1,1,4,15,0
37,63.24,month-to-month,transfer,1,0,0,21,0
67,85.2,month-to-month,transfer,1,1,0,18,0
1,58.91,month-to-month,credit-card,1,1,2,20,0
3,60.72,month-to-month,paypal,1,1,1,20,0
57,45.46,two-year,credit-card,1,1,2,18,0
26,85.34,two-year,debit,1,0,2,27,0
37,49.67,month-to-month,debit,0,1,1,19,0
31,72.0,one-year,debit,1,0,1,15,0
29,63.57,month-to-month,transfer,1,1,1,20,0
67,43.94,one-year,credit-card,0,0,0,18,0
7,52.82,month-to-month,debit,1,1,1,19,0
55,92.66,month-to-month,debit,1,0,2,24,1
64,69.03,one-year,transfer,1,1,0,17,0
47,44.82,month-to-month,transfer,0,0,2,22,1
29,71.11,month-to-month,paypal,1,0,0,12,0
12,62.08,month-to-month,credit-card,1,0,1,16,1
49,134.08,month-to-month,paypal,0,0,2,20,0
34,70.7,month-to-month,debit,1,1,2,19,0
11,57.39,one-year,debit,1,1,0,20,0
26,93.4,one-year,transfer,0,0,1,21,0
69,28.18,month-to-month,credit-card,1,1,0,19,0
19,66.89,month-to-month,paypal,0,1,0,22,0
13,104.89,one-year,debit,1,0,0,14,0
49,62.68,one-year,paypal,1,1,0,22,0
15,30.33,one-year,credit-card,1,1,0,15,0
66,57.08,month-to-month,paypal,1,1,0,18,0
61,94.09,month-to-month,debit,0,1,0,17,0
70,72.52,month-to-month,transfer,0,1,0,17,0
65,48.22,month-to-month,paypal,1,1,1,16,0
18,51.3,month-to-month,credit-card,0,1,1,22,0
16,53.81,month-to-month,debit,0,1,1,18,0
25,72.22,one-year,paypal,0,1,0,19,0
34,91.76,month-to-month,credit-card,1,1,1,22,0
63,86.05,one-year,credit-card,1,1,2,15,0
53,74.12,month-to-month,transfer,0,1,0,18,0
46,38.37,month-to-month,credit-card,0,0,0,13,1
63,38.44,one-year,paypal,0,0,4,21,1
46,75.67,one-year,paypal,0,0,0,18,0
27,38.09,month-to-month,credit-card,0,0,1,19,0
30,60.49,one-year,credit-card,1,1,1,22,0
37,71.08,month-to-month,paypal,1,1,0,21,0
7,42.25,month-to-month,transfer,0,0,0,16,0
53,44.51,one-year,paypal,1,1,1,17,0
47,63.12,one-year,paypal,1,0,0,13,0
52,75.07,month-to-month,debit,0,1,0,28,0
38,86.23,two-year,debit,0,1,2,14,0
56,77.14,one-year,transfer,1,0,1,26,0
68,66.47,one-year,transfer,0,1,1,11,0
41,50.08,month-to-month,debit,1,1,0,19,0
32,43.58,month-to-month,debit,1,1,0,19,0
8,54.78,month-to-month,debit,1,1,2,16,0
56,73.2,one-year,transfer,0,1,1,21,0
65,71.73,month-to-month,debit,0,0,1,13,0
50,23.0,one-year,debit,1,1,3,21,0
62,49.29,month-to-month,credit-card,1,0,2,22,0
62,89.09,one-year,paypal,0,1,3,19,0
57,66.58,one-year,transfer,1,1,0,27,0
36,36.66,one-year,paypal,0,1,2,10,0
8,112.12,one-year,paypal,1,1,1,17,1
1,64.42,two-year,transfer,1,1,2,19,0
15,72.69,month-to-month,debit,1,1,2,16,0
31,72.99,one-year,transfer,1,1,1,23,1
53,57.65,two-year,transfer,1,1,0,14,0
33,50.45,month-to-month,paypal,1,0,2,21,0
2,107.43,month-to-month,credit-card,0,1,1,14,0
15,85.06,two-year,credit-card,1,1,0,15,0
70,81.44,month-to-month,credit-card,0,0,1,12,0
71,76.53,month-to-month,credit-card,0,1,3,18,1
27,44.93,month-to-month,transfer,1,1,1,20,0
58,90.55,month-to-month,credit-card,0,1,0,15,0
52,48.14,month-to-month,credit-card,0,1,5,13,0
67,70.67,month-to-month,debit,1,1,1,21,0
64,32.21,two-year,paypal,0,1,3,21,0
45,24.18,month-to-month,debit,1,1,2,16,0
29,71.37,month-to-month,debit,0,0,1,16,0
45,48.82,two-year,debit,1,1,3,13,0
23,25.22,one-year,paypal,1,1,2,10,0
25,75.81,month-to-month,debit,0,1,1,14,0
44,107.4,month-to-month,debit,1,1,1,21,0
41,92.79,one-year,paypal,0,0,2,24,1
42,59.85,one-year,debit,0,1,2,15,0
28,65.18,month-to-month,debit,0,1,0,24,0
30,82.75,month-to-month,paypal,0,0,2,26,1
1,87.44,one-year,debit,0,1,1,17,0
43,58.13,one-year,transfer,1,1,0,14,0
41,65.68,month-to-month,transfer,1,0,2,15,0
67,71.01,two-year,credit-card,1,1,2,15,0
36,76.08,one-year,credit-card,1,1,0,19,0
34,62.34,one-year,paypal,0,1,0,23,0
5,62.6,one-year,debit,0,0,3,21,1
14,92.6,one-year,debit,0,0,0,18,0
25,89.19,month-to-month,transfer,1,1,0,21,0
27,74.55,month-to-month,credit-card,1,1,0,21,0
26,99.38,one-year,credit-card,0,0,1,10,0
28,57.27,one-year,debit,0,1,0,26,0
55,97.46,month-to-month,paypal,0,0,0,20,0
10,75.85,month-to-month,transfer,1,1,1,19,0
24,130.42,one-year,transfer,1,1,0,14,0
12,41.15,one-year,transfer,1,0,2,17,0
22,51.21,month-to-month,paypal,1,1,3,15,0
49,73.38,month-to-month,paypal,0,1,2,19,0
4,72.94,month-to-month,credit-card,0,1,1,21,0
25,104.0,two-year,transfer,1,1,2,19,0
2,51.63,two-year,transfer,1,0,0,16,0
68,83.1,month-to-month,credit-card,0,0,1,21,0
52,88.25,month-to-month,paypal,0,1,2,22,0
18,79.09,one-year,debit,0,1,3,14,0
15,45.78,month-to-month,paypal,0,0,0,23,0
8,93.16,two-year,credit-card,0,1,0,23,0
34,89.59,month-to-month,transfer,0,0,1,23,0
54,76.99,month-to-month,transfer,1,0,0,20,0
42,69.09,month-to-month,transfer,1,1,2,20,0
63,69.52,month-to-month,credit-card,1,1,1,14,0
25,63.43,one-year,credit-card,1,1,3,16,0
20,77.82,one-year,transfer,1,0,0,19,0
34,65.62,month-to-month,paypal,1,1,1,25,0
15,48.03,month-to-month,transfer,0,0,0,21,0
70,44.03,one-year,credit-card,0,1,3,21,0
14,49.96,one-year,paypal,0,1,3,17,0
34,69.44,month-to-month,debit,1,1,2,20,0
38,64.46,month-to-month,credit-card,0,1,2,20,0
5,69.31,month-to-month,debit,0,1,1,18,0
34,75.02,month-to-month,credit-card,1,0,3,16,1
33,52.45,one-year,paypal,1,0,1,13,0
19,94.31,month-to-month,paypal,1,1,2,17,0
10,59.65,month-to-month,credit-card,1,0,0,25,0
4,56.33,one-year,transfer,1,0,2,20,0
1,74.65,month-to-month,credit-card,1,0,3,26,0
35,28.27,month-to-month,debit,0,1,1,17,0
7,49.19,month-to-month,credit-card,1,1,1,14,0
69,84.62,two-year,transfer,1,1,0,23,0
18,30.25,one-year,credit-card,0,1,1,17,0
47,87.35,month-to-month,paypal,1,1,2,14,0
48,95.22,one-year,credit-card,1,0,1,20,0
36,57.61,month-to-month,debit,1,1,1,19,0
63,70.84,month-to-month,paypal,1,1,4,14,0
8,87.38,month-to-month,paypal,0,1,2,18,0
17,55.66,month-to-month,credit-card,0,1,0,19,0
18,82.36,month-to-month,credit-card,0,1,0,17,0
10,51.58,two-year,paypal,1,0,4,18,0
21,55.45,month-to-month,paypal,1,1,1,20,0
23,49.01,one-year,debit,1,1,1,9,0
55,71.85,one-year,credit-card,1,0,0,18,0
22,88.16,month-to-month,credit-card,1,0,2,22,0
63,61.32,month-to-month,debit,0,1,0,27,0
55,39.58,month-to-month,transfer,0,1,1,15,0
65,43.35,month-to-month,credit-card,1,1,2,16,0
8,72.89,month-to-month,transfer,1,0,1,22,0
70,101.88,two-year,paypal,0,1,0,20,0
44,72.87,two-year,credit-card,1,0,1,23,0
70,57.26,month-to-month,paypal,1,1,0,21,0
26,80.32,month-to-month,paypal,0,0,4,16,0
68,60.21,month-to-month,debit,1,0,1,21,0
42,57.43,two-year,credit-card,1,1,3,25,0
6,45.83,month-to-month,debit,1,0,1,22,0
